id;productid;shopifyproductid;shopifyvariantid;imageid;sku;price;salesprice;handlingcharges;transactioncharges;compareatprice;weight;barcode;trackinventory;quantity;requiresshipping;dateadd;dateupd;chargetaxes;dimension;inventorypolicy;idparent;combinations
1;53519;23386;51067;31701;black violet;6537;81457;23949;94433;16963;35726;redundant;66277;95727;generating neural;2020-04-25T22:00:54;2020-04-25T11:18:36;43646;deposit;Baby Paradigm Interactions;15995;Pound Sterling
2;84296;66490;53910;83998;UIC-Franc SCSI;83666;16362;37603;43840;49797;36906;Cedi Ergonomic Rubber Car;70969;23046;SMTP bypassing deposit;2020-04-26T03:44:10;2020-04-25T18:34:07;32904;Metrics;invoice indexing dedicated;40317;Rubber Accounts
3;56444;92896;98507;39819;efficient;89217;91291;73049;69269;15727;92642;synergistic;33948;31613;Sports;2020-04-26T04:53:25;2020-04-26T00:08:00;21495;redundant Bedfordshire;clicks-and-mortar calculate;21994;SQL
4;65134;72559;12798;66203;Massachusetts even-keeled;24224;73809;62579;71992;65873;76456;Sausages intermediate Shoes;27732;38543;Generic;2020-04-26T04:01:10;2020-04-26T02:03:32;70956;real-time;auxiliary payment;54824;lavender Product
5;96227;7223;43431;68354;withdrawal whiteboard Central;31805;47705;79768;83816;58760;68823;toolset;4395;22550;Iowa Group Home Loan Account;2020-04-25T09:17:28;2020-04-25T19:14:54;74500;e-services initiatives wireless;transmitting value-added cutting-edge;4528;Markets Future
6;22900;10028;17914;40783;bi-directional Clothing Markets;67409;12753;3447;86846;74409;55756;action-items Checking Account;48943;87382;orchid Internal;2020-04-25T23:23:23;2020-04-25T22:01:39;9347;Algeria Manager support;withdrawal hacking productivity;15049;application connect
7;54214;97401;88372;5230;Martinique;20550;36559;48439;98104;73158;49509;auxiliary;58838;55599;teal Nakfa;2020-04-25T18:02:46;2020-04-25T16:00:50;18944;Incredible Accounts;Strategist;92779;Intelligent XSS auxiliary
8;81752;95776;35564;27079;distributed Berkshire;46752;40714;91488;29559;73333;80845;Assurance;24840;24112;USB Concrete Sausages;2020-04-25T18:13:34;2020-04-26T05:33:10;81007;Luxembourg Tools Mississippi;reboot New Caledonia;62678;Investor programming
9;7514;88370;69609;97097;Communications gold;37468;38916;58023;6858;12333;6397;generate Kids Awesome;60488;50446;Hat withdrawal Designer;2020-04-26T02:38:25;2020-04-25T18:03:14;87085;hack Legacy;Auto Loan Account Unbranded;85276;withdrawal synergies Auto Loan Account
10;77653;47201;35341;95005;Handcrafted;28798;14028;30788;97242;53668;85843;Senior De-engineered;33598;7982;quantifying Investment Account primary;2020-04-25T22:04:40;2020-04-26T01:47:02;76906;Tanzania;firewall Springs Practical Steel Salad;85379;Pennsylvania Progressive cyan
